Word	Annotation	Sense	Part of Speech	Level	Russian	English
aufbringen, bringt auf, brachte auf, hat aufgebracht	aufbringen, bringt auf, brachte auf, hat aufgebracht		verb	B2+	воспитать	to raise, find
aufeinander	aufeinander		adv	B2+	друг друга	into/onto one another
Aufenthalt	der Aufenthalt, -e		der	B2+	останься	stay, residence
auffallen, fällt auf, fiel auf, ist aufgefallen	auffallen, fällt auf, fiel auf, ist aufgefallen		verb	B1	заметить	to stand out, notice
auffällig	auffällig		adj	B2+	заметный	conspicuous
Auffassung	die Auffassung, -en		die	B2+	мнение	point of view
auffordern, fordert auf, forderte auf, hat aufgefordert	auffordern, fordert auf, forderte auf, hat aufgefordert		verb	B2+	подскажет	to ask, request
aufführen, führt auf, führte auf, hat aufgeführt	aufführen, führt auf, führte auf, hat aufgeführt		verb	B1	исполнять	to perform
Aufführung	die Aufführung, -en		die	B2+	производительность	performance
Aufgabe	die Aufgabe, -n		die	A1	задача	task, assignment, job
aufgeben, gibt auf, gab auf, hat aufgegeben	aufgeben, gibt auf, gab auf, hat aufgegeben		verb	B1	сдаваться	to give up
aufgehen, geht auf, ging auf, ist aufgegangen	aufgehen, geht auf, ging auf, ist aufgegangen		verb	B1	подняться	to rise, open
aufgreifen, greift auf, griff auf, hat aufgegriffen	aufgreifen, greift auf, griff auf, hat aufgegriffen		verb	B2+	взял	to take up
aufgrund	aufgrund		prep	A2	из-за	on the basis of, because of
aufhalten, hält auf, hielt auf, hat aufgehalten	aufhalten, hält auf, hielt auf, hat aufgehalten		verb	B1	стоп	to stop, hold up, delay
aufheben, hebt auf, hob auf, hat aufgehoben	aufheben, hebt auf, hob auf, hat aufgehoben		verb	B1	отменить	to pick up, keep, lift
aufhören, hört auf, hörte auf, hat aufgehört	aufhören, hört auf, hörte auf, hat aufgehört		verb	A2	стоп	to stop
aufklären, klärt auf, klärte auf, hat aufgeklärt	aufklären, klärt auf, klärte auf, hat aufgeklärt		verb	B2+	просветить	to clear, clarify, resolve
Aufklärung	die Aufklärung, -en		die	B2+	просвещение	enlightenment, solution
aufkommen, kommt auf, kam auf, ist aufgekommen	aufkommen, kommt auf, kam auf, ist aufgekommen		verb	B1	подошел	to come up, arise, pay for
Auflage	die Auflage, -n		die	B1	издание	edition, condition, plating
auflegen, legt auf, legte auf, hat aufgelegt	auflegen, legt auf, legte auf, hat aufgelegt		verb	B2+	повесить трубку	to publish, put on, hang up
auflösen, löst auf, löste auf, hat aufgelöst	auflösen, löst auf, löste auf, hat aufgelöst		verb	B1	растворяться	to dissolve
Auflösung	die Auflösung, -en		die	B2+	разрешение	dissolving, dissolution, breaking up
aufmachen, macht auf, machte auf, hat aufgemacht	aufmachen, macht auf, machte auf, hat aufgemacht		verb	A2	открыто	to open
aufmerksam	aufmerksam		adj	B1	внимательный	attentive
Aufmerksamkeit	die Aufmerksamkeit, -en		die	B1	внимание	attention
Aufnahme	die Aufnahme, -n		die	B1	запись	reception, recording, snapshot
aufnehmen, nimmt auf, nahm auf, hat aufgenommen	aufnehmen, nimmt auf, nahm auf, hat aufgenommen		verb	B1	запись	to take in, record, include
aufpassen, passt auf, passte auf, hat aufgepasst	aufpassen, passt auf, passte auf, hat aufgepasst		verb	A2	обратите внимание	to pay attention, take care
aufregen, regt auf, regte auf, hat aufgeregt	aufregen, regt auf, regte auf, hat aufgeregt		verb	B1	расстроенный	to excite, upset, annoy
Aufregung	die Aufregung, -en		die	B2+	волнение	excitement
aufreißen, reißt auf, riss auf, hat aufgerissen	aufreißen, reißt auf, riss auf, hat aufgerissen		verb	B2+	вспарывать	to tear open
aufrichten, richtet auf, richtete auf, hat aufgerichtet	aufrichten (sich), richtet auf, richtete auf, hat aufgerichtet		verb	B2+	возводить	to put up (right), straighten up
aufrufen, ruft auf, rief auf, hat aufgerufen	aufrufen, ruft auf, rief auf, hat aufgerufen		verb	B2+	позвони	to call out/up/upon
aufsagen, sagt auf, sagte auf, hat aufgesagt	aufsagen, sagt auf, sagte auf, hat aufgesagt		verb	B2+	читать	to recite, refuse to serve
Aufsatz	der Aufsatz, -̈e		der	B2+	эссе	essay
aufschlagen, schlägt auf, schlug auf, hat aufgeschlagen	aufschlagen, schlägt auf, schlug auf, hat aufgeschlagen		verb	B2+	открыт	to open, serve, pitch
aufschreiben, schreibt auf, schrieb auf, hat aufgeschrieben	aufschreiben, schreibt auf, schrieb auf, hat aufgeschrieben		verb	B1	запишите	to write down
aufsetzen, setzt auf, setzte auf, hat aufgesetzt	aufsetzen, setzt auf, setzte auf, hat aufgesetzt		verb	B2+	надел	to put on
Aufsichtsrat	der Aufsichtsrat, -̈e		der	B2+	наблюдательный совет	supervisory board
aufspringen, springt auf, sprang auf, ist aufgesprungen	aufspringen, springt auf, sprang auf, ist aufgesprungen		verb	B2+	вскочить	to jump up/on, burst open
aufstehen, steht auf, stand auf, ist aufgestanden	aufstehen, steht auf, stand auf, ist aufgestanden		verb	A1	вставай	to stand up, get up
aufsteigen, steigt auf, stieg auf, ist aufgestiegen	aufsteigen, steigt auf, stieg auf, ist aufgestiegen		verb	B1	подняться	to rise (up), move up
aufstellen, stellt auf, stellte auf, hat aufgestellt	aufstellen, stellt auf, stellte auf, hat aufgestellt		verb	B1	выставил	to put up, draw up
Aufstieg	der Aufstieg, -e		der	B2+	вознесение	climb, rise
aufsuchen, sucht auf, suchte auf, hat aufgesucht	aufsuchen, sucht auf, suchte auf, hat aufgesucht		verb	B2+	искать	to see, visit
auftauchen, taucht auf, tauchte auf, ist aufgetaucht	auftauchen, taucht auf, tauchte auf, ist aufgetaucht		verb	B1	появиться	to surface, appear
Auftrag	der Auftrag, -̈e		der	B1	заказать	instructions, order, job
auftreten, tritt auf, trat auf, ist aufgetreten	auftreten, tritt auf, trat auf, ist aufgetreten		verb, das	B1	происходить	to appear, occur; behavior, conduct, occurrence, appearance
Auftritt	der Auftritt, -e		der	B1	внешний вид	appearance, entrance
aufwachen, wacht auf, wachte auf, ist aufgewacht	aufwachen, wacht auf, wachte auf, ist aufgewacht		verb	B1	просыпайся	to wake up
aufwachsen, wächst auf, wuchs auf, ist aufgewachsen	aufwachsen, wächst auf, wuchs auf, ist aufgewachsen		verb	B1	повзрослеть	to grow up
Aufwand	der Aufwand, -̈e		der	B2+	усилие	expense, effort
aufweisen, weist auf, wies auf, hat aufgewiesen	aufweisen, weist auf, wies auf, hat aufgewiesen		verb	B1	имел	to show, exhibit, contain
aufwendig	aufwendig		adj	B2+	сложный	extravagant, costly
Aufwendung	die Aufwendung, -en		die	B2+	расходы	expense, expenditure, use
aufzeigen, zeigt auf, zeigte auf, hat aufgezeigt	aufzeigen, zeigt auf, zeigte auf, hat aufgezeigt		verb	B2+	показать	to show, point out
aufziehen, zieht auf, zog auf, hat aufgezogen	aufziehen, zieht auf, zog auf, hat aufgezogen		verb	B2+	поднять	to raise, rear, wind (up)
Auge	das Auge, -n		das	A1	глаз	eye
Augenblick	der Augenblick, -e		der	B1	момент	moment
August	der August, -e		der	B1	август	August
aus	aus		prep	A1	из	out, out of, from
Ausbau	der Ausbau, -ten		der	B2+	расширение	expansion, consolidation
ausbauen, baut aus, baute aus, hat ausgebaut	ausbauen, baut aus, baute aus, hat ausgebaut		verb	B1	расширяться	to extend, expand, enlarge
ausbilden, bildet aus, bildete aus, hat ausgebildet	ausbilden, bildet aus, bildete aus, hat ausgebildet		verb	B1	поезд	to train, instruct, educate
Ausbildung	die Ausbildung, -en		die	A2	обучение	training, development
ausbleiben, bleibt aus, blieb aus, ist ausgeblieben	ausbleiben, bleibt aus, blieb aus, ist ausgeblieben		verb	B2+	отсутствовать	to be missing, fail to appear, stay out
Ausblick	der Ausblick, -e		der	B2+	перспективы	outlook, forecast, view
ausbrechen, bricht aus, brach aus, hat ausgebrochen	ausbrechen, bricht aus, brach aus, hat ausgebrochen		verb	B2+	вырваться	to break out, erupt
ausbreiten, breitet aus, breitete aus, hat ausgebreitet	ausbreiten, breitet aus, breitete aus, hat ausgebreitet		verb	B2+	распространился	to spread, spread out
ausdehnen, dehnt aus, dehnte aus, hat ausgedehnt	ausdehnen, dehnt aus, dehnte aus, hat ausgedehnt		verb	B2+	расширяться	to extend, expand
ausdenken, denkt aus, dachte aus, hat ausgedacht	ausdenken, denkt aus, dachte aus, hat ausgedacht		verb	B2+	выдумать	to think of, devise, make up
Ausdruck	der Ausdruck, -̈e		der	B1	выражение	term, expression
ausdrücken, drückt aus, drückte aus, hat ausgedrückt	ausdrücken, drückt aus, drückte aus, hat ausgedrückt		verb	B1	выражать	to express
ausdrücklich	ausdrücklich		adj	B2+	явно	explicit
auseinandersetzen, setzt auseinander, setzte auseinander, hat auseinandergesetzt	auseinandersetzen, setzt auseinander, setzte auseinander, hat auseinandergesetzt		verb	B2+	иметь дело	to deal with
Auseinandersetzung	die Auseinandersetzung, -en		die	B1	споры	argument, quarrel
Ausfall	der Ausfall, -̈e		der	B2+	неудача	failure, breakdown
ausfallen, fällt aus, fiel aus, ist ausgefallen	ausfallen, fällt aus, fiel aus, ist ausgefallen		verb	B1	неудача	to drop out, be canceled
Ausflug	der Ausflug, -̈e		der	A1	экскурсия	excursion, trip
ausführen, führt aus, führte aus, hat ausgeführt	ausführen, führt aus, führte aus, hat ausgeführt		verb	B1	выполнить	to carry out, perform
ausführlich	ausführlich		adj	B2+	подробный	detailed
Ausführung	die Ausführung, -en		die	B2+	исполнение	implementation, type
ausfüllen, füllt aus, füllte aus, hat ausgefüllt	ausfüllen, füllt aus, füllte aus, hat ausgefüllt		verb	A1	заполнить	to fill out
Ausgabe	die Ausgabe, -n		die	B1	издание	distribution, edition, issue, expense
Ausgang	der Ausgang, -̈e		der	A1	выход	exit, outcome, starting point
Ausgangspunkt	der Ausgangspunkt, -e		der	B2+	начальная точка	starting point
ausgeben, gibt aus, gab aus, hat ausgegeben	ausgeben, gibt aus, gab aus, hat ausgegeben		verb	A2	тратить	to spend
ausgehen, geht aus, ging aus, ist ausgegangen	ausgehen, geht aus, ging aus, ist ausgegangen		verb	A2	выйти	to go out, assume
ausgeprägt	ausgeprägt		adj	B2+	выраженный	distinct, pronounced, remarkable
ausgerechnet	ausgerechnet		adv	B1	из всех вещей	of all people, of all times
ausgesprochen	ausgesprochen		adj	B2+	выраженный	pronounced, expressed, exceptional
ausgezeichnet	ausgezeichnet		adj	B1	отлично	excellent, outstanding
Ausgleich	der Ausgleich, -e		der	B2+	баланс	balancing, compensation, change
ausgleichen, gleicht aus, glich aus, hat ausgeglichen	ausgleichen, gleicht aus, glich aus, hat ausgeglichen		verb	B2+	уравнять	to even out, reconcile
aushalten, hält aus, hielt aus, hat ausgehalten	aushalten, hält aus, hielt aus, hat ausgehalten		verb	B2+	терпеть	to bear, endure
auskennen, kennt aus, kannte aus, hat ausgekannt	auskennen, kennt aus, kannte aus, hat ausgekannt		verb	B2+	знать	to know one’s way around, be well informed
auskommen, kommt aus, kam aus, ist ausgekommen	auskommen, kommt aus, kam aus, ist ausgekommen		verb	B2+	ладить	to get by, get on, manage
Auskunft	die Auskunft, -̈e		die	A1	информация	information
Ausland	das Ausland		das	A1	за границей	foreign countries
Ausländer	der Ausländer, -		der	A1	иностранцы	foreigner
ausländisch	ausländisch		adj	A1	иностранный	foreign
auslaufen, läuft aus, lief aus, ist ausgelaufen	auslaufen, läuft aus, lief aus, ist ausgelaufen		verb	B2+	истекает	to run out, leak
auslegen, legt aus, legte aus, hat ausgelegt	auslegen, legt aus, legte aus, hat ausgelegt		verb	B2+	выложил	to lay out, design, interpret
auslösen, löst aus, löste aus, hat ausgelöst	auslösen, löst aus, löste aus, hat ausgelöst		verb	B1	триггер	to set off, provoke
ausmachen, macht aus, machte aus, hat ausgemacht	ausmachen, macht aus, machte aus, hat ausgemacht		verb	A1	помирились	to put out, agree
Ausmaß	das Ausmaß, -e		das	B2+	степень	extent, size
Ausnahme	die Ausnahme, -n		die	B1	исключение	exception
ausnutzen, nutzt aus, nutzte aus, hat ausgenutzt	ausnutzen, nutzt aus, nutzte aus, hat ausgenutzt		verb	B2+	эксплуатировать	to exploit, take advantage of
Ausprägung	die Ausprägung, -en		die	B2+	выражение	shaping, markedness
ausprobieren, probiert aus, probierte aus, hat ausprobiert	ausprobieren, probiert aus, probierte aus, hat ausprobiert		verb	B2+	попробуй	to try out
ausreichen, reicht aus, reichte aus, hat ausgereicht	ausreichen, reicht aus, reichte aus, hat ausgereicht		verb	B1	хватит	to be sufficient
ausrichten, richtet aus, richtete aus, hat ausgerichtet	ausrichten, richtet aus, richtete aus, hat ausgerichtet		verb	B1	выровнять	to tell, align, line up, send
Ausrichtung	die Ausrichtung, -en		die	B2+	выравнивание	orientation, alignment
ausrufen, ruft aus, rief aus, hat ausgerufen	ausrufen, ruft aus, rief aus, hat ausgerufen		verb	B2+	воскликнуть	to page, call out
Aussage	die Aussage, -n		die	A1	заявление	statement
aussagen, sagt aus, sagte aus, hat ausgesagt	aussagen, sagt aus, sagte aus, hat ausgesagt		verb	B2+	свидетельствовать	to testify
ausschalten, schaltet aus, schaltete aus, hat ausgeschaltet	ausschalten, schaltet aus, schaltete aus, hat ausgeschaltet		verb	B2+	выключить	to turn off
ausscheiden, scheidet aus, schied aus, hat ausgeschieden	ausscheiden, scheidet aus, schied aus, hat ausgeschieden		verb	B2+	уйти в отставку	to leave, retire, be eliminated
ausschließen, schließt aus, schloss aus, hat ausgeschlossen	ausschließen, schließt aus, schloss aus, hat ausgeschlossen		verb	B1	исключить	to exclude, rule out
ausschließlich	ausschließlich		adj	B1	исключительно	exclusive
Ausschnitt	der Ausschnitt, -e		der	B2+	деталь	section, extract, excerpt, neckline
Ausschuss	der Ausschuss, -̈e		der	B2+	комитет	committee
aussehen, sieht aus, sah aus, hat ausgesehen	aussehen, sieht aus, sah aus, hat ausgesehen		verb	A1	смотри	to appear, look
außen	außen		adj	B1	снаружи	outside
Außenminister	der Außenminister, -		der	B2+	министр иностранных дел	foreign minister
außer	außer		prep	A2	кроме	except, apart from
außerdem	außerdem		adv	A2	кроме того	besides, in addition
äußere	äußere (r, s)		adj	B1	внешний	outer, external
außergewöhnlich	außergewöhnlich		adj	B2+	необыкновенный	unusual, extraordinary
außerhalb	außerhalb		prep	A2	снаружи	outside
äußern, äußert, äußerte, hat geäußert	äußern, äußert, äußerte, hat geäußert		verb	B1	выражать	to express, voice
außerordentlich	außerordentlich		adj	B2+	необыкновенный	extraordinary
äußerst	äußerst		adv	B1	чрезвычайно	extremely
Äußerung	die Äußerung, -en		die	B1	высказывание	comment
aussetzen, setzt aus, setzte aus, hat ausgesetzt	aussetzen, setzt aus, setzte aus, hat ausgesetzt		verb	B1	приостановить	to suspend, expose, skip, sit out
